Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00330331665446667,0.0134210233318688,0.000330796304878542,0,0,0,0.943175379685331,0.000843754097456323,-9.02236540608445E-05,-1.97983849821466E-07,0.00333595130361869,-6.67405147906829E-08,0.00280083806021279,0,0,0,0,0,0,package://PinkPanther_CML_URDF/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://PinkPanther_CML_URDF/meshes/base_link.STL,,Base_Link-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
lf_scapula_link,-0.0307478229173777,0.0107619980269319,0.0454037559923902,0,0,0,0.0830241411734477,1.95136190626042E-05,2.08355453350461E-07,3.21766968383253E-07,1.90592987858334E-05,-9.82540532464477E-07,2.17756582625573E-05,0,0,0,0,0,0,package://PinkPanther_CML_URDF/meshes/lf_scapula_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://PinkPanther_CML_URDF/meshes/lf_scapula_link.STL,,Left_Scapula_Link-1,Origin_lf_armpit_joint,Axis_lf_armpit_joint,lf_armpit_joint,continuous,0.086171,0.04808,0.020686,1.5708,-4.0815E-05,3.1416,base_link,1,-4.0815E-05,0,1.667,6.545,0,0,,,,,,,,
lf_humerus_link,0.0599393671973508,-0.0341509189584286,0.0323475501239796,0,0,0,0.205227539835006,5.26317426297877E-05,-6.87018255511582E-06,-1.70302696281425E-08,0.000207658536439962,3.20255041781512E-10,0.000196664377931724,0,0,0,0,0,0,package://PinkPanther_CML_URDF/meshes/lf_humerus_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://PinkPanther_CML_URDF/meshes/lf_humerus_link.STL,,Left_Humerus_Link-1,Origin_lf_shoulder_joint,Axis_lf_shoulder_joint,lf_shoulder_joint,continuous,-0.029275,-0.014657,0.02045,0,0,-0.5236,lf_scapula_link,0,0,1,1.667,6.545,0,0,,,,,,,,
lf_ulna_link,-0.0602300180729836,-0.0311427169364051,0.0300921592418351,0,0,0,0.129518977611389,2.77037088503312E-05,6.55368550236014E-06,1.06768612045409E-09,0.000261061310693975,2.95073964447291E-09,0.000250498590500445,0,0,0,0,0,0,package://PinkPanther_CML_URDF/meshes/lf_ulna_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://PinkPanther_CML_URDF/meshes/lf_ulna_link.STL,,Left_Ulna_Link-2,Origin_lf_elbow_joint,Axis_lf_elbow_joint,lf_elbow_joint,continuous,0.14707,-0.034829,0.0025103,0,0,1.0472,lf_humerus_link,0,0,1,1.667,6.545,0,0,,,,,,,,
rf_scapula_link,-0.0308369053047592,0.0107591887542852,-0.0454033905602584,0,0,0,0.0830240745752479,1.95132191023977E-05,2.07976109391507E-07,-3.21638016127617E-07,1.90591406228246E-05,9.82497090801925E-07,2.17756092440883E-05,0,0,0,0,0,0,package://PinkPanther_CML_URDF/meshes/rf_scapula_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://PinkPanther_CML_URDF/meshes/rf_scapula_link.STL,,Right_Scapula_Link-1,Origin_rf_armpit_joint,Axis_rf_armpit_joint,rf_armpit_joint,continuous,0.086671,-0.04808,0.020686,1.5708,5.102E-05,-3.1416,base_link,1,5.102E-05,0,1.667,6.545,,,,,,,,,,
rf_humerus_link,-0.0434855234700952,-0.0869094327743726,-0.100877041365097,0,0,0,0.205227541864662,5.2631742670039E-05,-6.87036255747767E-06,1.51827608008214E-08,0.000207658536522049,3.19987817314245E-10,0.000196664377954549,0,0,0,0,0,0,package://PinkPanther_CML_URDF/meshes/rf_humerus_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://PinkPanther_CML_URDF/meshes/rf_humerus_link.STL,,Right_Humerus_Link-2,Origin_rf_humerus_shoulder,Axis_rf_humerus_shoulder,rf_humerus_shoulder,continuous,0.086672,-0.020682,0.04808,0,0,-0.5236,rf_scapula_link,0,0,1,1.667,6.545,,,,,,,,,,
rf_ulna_link,-0.0602300180374266,-0.0311427168522572,-0.0300674735573703,0,0,0,0.129518977475394,2.77037089316128E-05,6.55368523649855E-06,1.06766509147501E-09,0.000261061310715708,2.95075193535627E-09,0.000250498590422263,0,0,0,0,0,0,package://PinkPanther_CML_URDF/meshes/rf_ulna_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://PinkPanther_CML_URDF/meshes/rf_ulna_link.STL,,Right_Ulna_Link-1,Origin_rf_elbow_joint,Axis_rf_elbow_joint,rf_elbow_joint,continuous,0.043649,-0.087588,-0.071057,0,0,1.0472,rf_humerus_link,0,0,1,1.667,6.545,,,,,,,,,,
lb_scapula_link,0.0268129680531783,0.0107596486788062,0.0454037559923906,0,0,0,0.0830241411734528,1.95136190626043E-05,2.08355453350426E-07,3.21766968383282E-07,1.90592987858335E-05,-9.82540532464475E-07,2.17756582625574E-05,0,0,0,0,0,0,package://PinkPanther_CML_URDF/meshes/lb_scapula_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://PinkPanther_CML_URDF/meshes/lb_scapula_link.STL,,Left_Scapula_Link-2,Origin_lb_armpit_joint,Axis_lb_armpit_joint,lb_armpit_joint,continuous,-0.090588,0.04808,0.020686,1.5708,-4.0815E-05,3.1416,base_link,1,-4.0815E-05,0,1.667,6.545,,,,,,,,,,
lb_humerus_link,0.0599393671973191,-0.0341509189584266,0.0323475501239733,0,0,0,0.205227539834965,5.26317426297972E-05,-6.87018255511166E-06,-1.70302696336837E-08,0.00020765853643998,3.20255044483756E-10,0.000196664377931737,0,0,0,0,0,0,package://PinkPanther_CML_URDF/meshes/lb_humerus_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://PinkPanther_CML_URDF/meshes/lb_humerus_link.STL,,Left_Humerus_Link-2,Origin_lb_shoulder_joint,Axis_lb_shoulder_joint,lb_shoulder_joint,continuous,0.028286,-0.014659,0.02045,0,0,-0.5236,lb_scapula_link,0,0,1,1.667,6.545,,,,,,,,,,
lb_ulna_link,-0.0602300180729847,-0.0311427169364056,0.0300921592418365,0,0,0,0.129518977611384,2.77037088503135E-05,6.5536855023707E-06,1.067686122188E-09,0.00026106131069397,2.95073964434943E-09,0.000250498590500422,0,0,0,0,0,0,package://PinkPanther_CML_URDF/meshes/lb_ulna_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://PinkPanther_CML_URDF/meshes/lb_ulna_link.STL,,Left_Ulna_Link-1,Origin_lb_elbow_joint,Axis_lb_elbow_joint,lb_elbow_joint,continuous,0.14707,-0.034829,0.0025103,0,0,1.0472,lb_humerus_link,0,0,1,1.667,6.545,,,,,,,,,,
