Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.098726,0.15325,0.22213,0,0,0,0.94318,0.00084375,-9.0224E-05,-1.9799E-07,0.003336,-6.6739E-08,0.0028008,0,0,0,0,0,0,package://PinkPanther_URDF/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://PinkPanther_URDF/meshes/base_link.STL,,Base_Link-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Scapula_Front_Left,-0.030748,0.010762,0.045404,0,0,0,0.083024,1.9514E-05,2.0836E-07,3.2177E-07,1.9059E-05,-9.8254E-07,2.1776E-05,0,0,0,0,0,0,package://PinkPanther_URDF/meshes/Scapula_Front_Left.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://PinkPanther_URDF/meshes/Scapula_Front_Left.STL,,Left_Scapula_Link-1,Origin_Armpit_Front_Left,Axis_Armpit_Front_Left,Armpit_Front_Left,revolute,0.18159,-0.17372,0.16047,1.5708,-4.0815E-05,3.1416,base_link,1,-4.0815E-05,0,1.667,6.545,-0.3,0.3,,,,,,,,
Humerus_Front_Left,0.059939,-0.034151,0.032348,0,0,0,0.20523,5.2632E-05,-6.8702E-06,-1.703E-08,0.00020766,3.2026E-10,0.00019666,0,0,0,0,0,0,package://PinkPanther_URDF/meshes/Humerus_Front_Left.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://PinkPanther_URDF/meshes/Humerus_Front_Left.STL,,Left_Humerus_Link-1,Origin_Shoulder_Front_Left,Axis_Shoulder_Front_Left,Shoulder_Front_Left,revolute,-0.029275,-0.014657,0.02045,0,0,-0.5236,Scapula_Front_Left,0,0,1,1.667,6.545,-0.3,1.2,,,,,,,,
Ulna_Front_Left,-0.06023,-0.031143,0.030092,0,0,0,0.12952,2.7704E-05,6.5537E-06,1.0677E-09,0.00026106,2.9507E-09,0.0002505,0,0,0,0,0,0,package://PinkPanther_URDF/meshes/Ulna_Front_Left.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://PinkPanther_URDF/meshes/Ulna_Front_Left.STL,,Left_Ulna_Link-2,Origin_Elbow_Front_Left,Axis_Elbow_Front_Left,Elbow_Front_Left,revolute,0.14707,-0.034829,0.0025103,0,0,1.0472,Humerus_Front_Left,0,0,1,1.667,6.545,-0.9,1.2,,,,,,,,
Scapula_Front_Right,-0.030837,0.010759,-0.045403,0,0,0,0.083024,1.9513E-05,2.0798E-07,-3.2164E-07,1.9059E-05,9.825E-07,2.1776E-05,0,0,0,0,0,0,package://PinkPanther_URDF/meshes/Scapula_Front_Right.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://PinkPanther_URDF/meshes/Scapula_Front_Right.STL,,Right_Scapula_Link-1,Origin_Armpit_Front_Right,Axis_Armpit_Front_Right,Armpit_Front_Right,revolute,0.18209,-0.26988,0.16047,1.5708,5.102E-05,-3.1416,base_link,1,5.102E-05,0,1.667,6.545,-0.3,0.3,,,,,,,,
Humerus_Front_Right,0.059939,-0.034151,-0.032347,0,0,0,0.20523,5.2632E-05,-6.8704E-06,1.5183E-08,0.00020766,3.1999E-10,0.00019666,0,0,0,0,0,0,package://PinkPanther_URDF/meshes/Humerus_Front_Right.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://PinkPanther_URDF/meshes/Humerus_Front_Right.STL,,Right_Humerus_Link-2,Origin_Shoulder_Front_Right,Axis_Shoulder_Front_Right,Shoulder_Front_Right,revolute,-0.029276,-0.01466,-0.02045,0,0,-0.5236,Scapula_Front_Right,0,0,1,1.667,6.545,-0.3,1.2,,,,,,,,
Ulna_Front_Right,-0.06023,-0.031143,-0.030067,0,0,0,0.12952,2.7704E-05,6.5537E-06,1.0677E-09,0.00026106,2.9508E-09,0.0002505,0,0,0,0,0,0,package://PinkPanther_URDF/meshes/Ulna_Front_Right.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://PinkPanther_URDF/meshes/Ulna_Front_Right.STL,,Right_Ulna_Link-1,Origin_Elbow_Front_Right,Axis_Elbow_Front_Right,Elbow_Front_Right,revolute,0.14707,-0.034829,-0.0025274,0,0,1.0472,Humerus_Front_Right,0,0,1,1.667,6.545,-0.9,1.2,,,,,,,,
Scapula_Back_Left,0.021978,0.01076,0.045404,0,0,0,0.083024,1.9514E-05,2.0836E-07,3.2177E-07,1.9059E-05,-9.8254E-07,2.1776E-05,0,0,0,0,0,0,package://PinkPanther_URDF/meshes/Scapula_Back_Left.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://PinkPanther_URDF/meshes/Scapula_Back_Left.STL,,Left_Scapula_Link-2,Origin_Armpit_Back_Left,Axis_Armpit_Back_Left,Armpit_Back_Left,revolute,0,-0.17372,0.16047,1.5708,-4.0815E-05,3.1416,base_link,1,-4.0815E-05,0,1.667,6.545,-0.3,0.3,,,,,,,,
Humerus_Back_Left,0.059939,-0.034151,0.032348,0,0,0,0.20523,5.2632E-05,-6.8702E-06,-1.703E-08,0.00020766,3.2026E-10,0.00019666,0,0,0,0,0,0,package://PinkPanther_URDF/meshes/Humerus_Back_Left.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://PinkPanther_URDF/meshes/Humerus_Back_Left.STL,,Left_Humerus_Link-2,Origin_Shoulder_Back_Left,Axis_Shoulder_Back_Left,Shoulder_Back_Left,revolute,0.023451,-0.014659,0.02045,0,0,-0.5236,Scapula_Back_Left,0,0,1,1.667,6.545,-0.3,1.2,,,,,,,,
Ulna_Back_Left,-0.06023,-0.031143,0.030092,0,0,0,0.12952,2.7704E-05,6.5537E-06,1.0677E-09,0.00026106,2.9507E-09,0.0002505,0,0,0,0,0,0,package://PinkPanther_URDF/meshes/Ulna_Back_Left.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://PinkPanther_URDF/meshes/Ulna_Back_Left.STL,,Left_Ulna_Link-1,Origin_Elbow_Back_Left,Axis_Elbow_Back_Left,Elbow_Back_Left,revolute,0.14707,-0.034829,0.0025103,0,0,1.0472,Humerus_Back_Left,0,0,1,1.667,6.545,-0.9,1.2,,,,,,,,
Scapula_Back_Right,0.02139,0.010762,-0.045403,0,0,0,0.083024,1.9513E-05,2.0798E-07,-3.2164E-07,1.9059E-05,9.825E-07,2.1776E-05,0,0,0,0,0,0,package://PinkPanther_URDF/meshes/Scapula_Back_Right.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://PinkPanther_URDF/meshes/Scapula_Back_Right.STL,,Right_Scapula_Link-2,Origin_Armpit_Back_Right,Axis_Armpit_Back_Right,Armpit_Back_Right,revolute,0,-0.26988,0.16047,1.5708,5.102E-05,-3.1416,base_link,1,5.102E-05,0,1.667,6.545,-0.3,0.3,,,,,,,,
