Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00454071999132188,0.0652075601364906,-6.47897566883711E-05,0,0,0,0.140325255511383,0.000366286276832393,-7.63809950386849E-05,-7.33485979630507E-08,0.00109187006228455,-5.95557864844877E-08,0.000945919015213186,0,0,0,0,0,0,package://CML_PP_2/meshes/base_link.STL,1,0.470588235294118,0.823529411764706,1,0,0,0,0,0,0,package://CML_PP_2/meshes/base_link.STL,,base_link_REVISED-1/Cover_4-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
lf_shoulder_link,-0.03075,0.010763,0.045764,0,0,0,0.0824,1.9553E-05,2.0818E-07,3.2177E-07,1.9067E-05,-9.6011E-07,2.1806E-05,0,0,0,0,0,0,package://CML_PP_2/meshes/lf_shoulder_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://CML_PP_2/meshes/lf_shoulder_link.STL,,left_shoulder_link-2,Origin_LF_ARMPIT,Axis_LF_ARMPIT,LF_ARMPIT,revolute,0.086416,0.04808,0.020486,1.5666,-5.102E-05,3.1416,base_link,1,-5.102E-05,0,0,0,0,0,,,,,,,,
lf_thigh_link,0.0599963195132601,-0.0341838745475905,0.0323773610686816,0,0,0,0.204666877949787,5.26405535315348E-05,-6.8704284753317E-06,-9.11945491837271E-09,0.000207700436426374,4.2930970887599E-10,0.000196694952417644,0,0,0,0,0,0,package://CML_PP_2/meshes/lf_thigh_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://CML_PP_2/meshes/lf_thigh_link.STL,,thigh_link-1,Origin_LF_ELBOW,Axis_LF_ELBOW,LF_ELBOW,revolute,-0.029275,-0.014657,0.021201,0,0,-0.43549,lf_shoulder_link,0,0,1,0,0,0,0,,,,,,,,
lf_calf_link,-0.0562746607594241,-0.0312019222312566,0.0300902624876031,0,0,0,0.124150378027878,2.71331254270731E-05,6.52330853460604E-06,-6.70500134135691E-09,0.000259455346859976,3.49049560417254E-09,0.000248912943667171,0,0,0,0,0,0,package://CML_PP_2/meshes/lf_calf_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://CML_PP_2/meshes/lf_calf_link.STL,,calf_link-2,Origin_LF_KNEE,Axis_LF_KNEE,LF_KNEE,revolute,0.14707,-0.034829,0.0022602,0,0,0.93771,lf_thigh_link,0,0,1,0,0,0,0,,,,,,,,
rf_shoulder_link,-0.0308384266119752,0.0107591399959096,-0.0455633350384645,0,0,0,0.0823973983278599,1.95529735579707E-05,2.08060114847763E-07,-3.21733563476553E-07,1.90663268901384E-05,9.72946409374894E-07,2.18055627830236E-05,0,0,0,0,0,0,package://CML_PP_2/meshes/rf_shoulder_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://CML_PP_2/meshes/rf_shoulder_link.STL,,right_shoulder_link-1,Origin_RF_ARMPIT,Axis_RF_ARMPIT,RF_ARMPIT,revolute,0.086926,-0.04808,0.020486,1.5736,5.102E-05,3.1416,base_link,1,5.102E-05,0,0,0,0,0,,,,,,,,
rf_thigh_link,0.059996319544716,-0.0341838862880749,-0.0326354177099718,0,0,0,0.204666659119259,5.26405020771446E-05,-6.87045925823285E-06,-9.16134381790125E-09,0.000207700318237006,4.24645067196462E-10,0.000196694737864689,0,0,0,0,0,0,package://CML_PP_2/meshes/rf_thigh_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://CML_PP_2/meshes/rf_thigh_link.STL,,thigh_link-4,Origin_RF_ELBOW,Axis_RF_ELBOW,RF_ELBOW,revolute,-0.029276,-0.01466,-0.020328,0,0,-0.42784,rf_shoulder_link,0,0,1,0,0,0,0,,,,,,,,
rf_calf_link,-0.0562746594086836,-0.031201912312426,-0.0304061026125255,0,0,0,0.124150283030027,2.71331044981176E-05,6.52340639611651E-06,-7.24574922911349E-09,0.000259454989110842,3.51796278658808E-09,0.000248912583960562,0,0,0,0,0,0,package://CML_PP_2/meshes/rf_calf_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://CML_PP_2/meshes/rf_calf_link.STL,,calf_link-4,Origin_RF_KNEE,Axis_RF_KNEE,RF_KNEE,revolute,0.14707,-0.034829,-0.0017563,0,0,0.93378,rf_thigh_link,0,0,1,0,0,0,0,,,,,,,,
lb_shoulder_link,0.0268112424173798,0.0107596960598041,0.0457636308417059,0,0,0,0.0823995961404889,1.95534937544981E-05,2.08177132098458E-07,3.21769091341543E-07,1.90668948433689E-05,-9.60105437391402E-07,2.18057213002159E-05,0,0,0,0,0,0,package://CML_PP_2/meshes/lb_shoulder_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://CML_PP_2/meshes/lb_shoulder_link.STL,,left_shoulder_link-1,Origin_LB_ARMPIT,Axis_LB_ARMPIT,LB_ARMPIT,revolute,-0.090843,0.04808,0.020486,1.5668,-5.102E-05,-3.1416,base_link,1,-5.102E-05,0,0,0,0,0,,,,,,,,
lb_thigh_link,0.0599962531882521,-0.0341838743931865,0.0323774662751334,0,0,0,0.204667094970786,5.26405893727808E-05,-6.87037873543066E-06,-9.16501184768238E-09,0.000207700430481537,4.05445574988923E-10,0.00019669493307742,0,0,0,0,0,0,package://CML_PP_2/meshes/lb_thigh_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://CML_PP_2/meshes/lb_thigh_link.STL,,thigh_link-2,Origin_LB_ELBOW,Axis_LB_ELBOW,LB_ELBOW,revolute,0.028287,-0.014659,0.021201,0,0,-0.46494,lb_shoulder_link,0,0,1,0,0,0,0,,,,,,,,
lb_calf_link,-0.0562746283337435,-0.0312019131985416,0.0300903536116096,0,0,0,0.124150345082354,2.71331212983521E-05,6.52346284637176E-06,-6.71092220781009E-09,0.000259455087280996,3.48846832947796E-09,0.000248912689473426,0,0,0,0,0,0,package://CML_PP_2/meshes/lb_calf_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://CML_PP_2/meshes/lb_calf_link.STL,,calf_link-1,Origin_LB_KNEE,Axis_LB_KNEE,LB_KNEE,revolute,0.14707,-0.034829,0.0022602,0,0,0.97678,lb_thigh_link,0,0,1,0,0,0,0,,,,,,,,
