Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0019147,-1.044E-05,0.012436,0,0,0,0.95,0.00090019,-3.9096E-07,-9.0854E-05,0.0028213,1.8688E-07,0.0034052,0,0,0,0,0,0,package://PP/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://PP/meshes/base_link.STL,,BASE_LINK-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
lf_shoulder_link,-0.030753,0.010778,0.045502,0,0,0,0.08,1.9553E-05,2.0828E-07,3.218E-07,1.9066E-05,-9.7277E-07,2.1805E-05,0,0,0,0,0,0,package://PP/meshes/lf_shoulder_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://PP/meshes/lf_shoulder_link.STL,,LEFT_SHOULDER_LINK-1,Origin_LF_ARMPIT,Axis_LF_ARMPIT,LF_ARMPIT,revolute,0.086416,0.04808,0.020486,1.5796,5.1018E-05,3.1416,base_link,1,5.1016E-05,0,1000,0.5,-0.6,0.6,,,,,,,,
lf_thigh_link,0.059941,-0.034073,0.033487,0,0,0,0.2,5.2643E-05,-6.8707E-06,-9.1036E-09,0.0002077,4.206E-10,0.0001967,0,0,0,0,0,0,package://PP/meshes/lf_thigh_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://PP/meshes/lf_thigh_link.STL,,THIGH_LINK-3,Origin_LF_ELBOW,Axis_LF_ELBOW,LF_ELBOW,revolute,-0.0292763807105232,-0.0145596375104043,0.0194736909981926,0,0,-0.391100326154628,lf_shoulder_link,0,0,1,1000,0.5,-1,1.2,,,,,,,,
lf_calf_link,-0.056274,-0.03107,0.031238,0,0,0,0.12,2.7136E-05,6.5226E-06,-7.6949E-09,0.00025946,3.4777E-09,0.00024892,0,0,0,0,0,0,package://PP/meshes/lf_calf_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://PP/meshes/lf_calf_link.STL,,CALF_LINK-1,Origin_LF_KNEE,Axis_LF_KNEE,LF_KNEE,revolute,0.146923729810866,-0.0347427857925265,0.00221049130220088,0,0,0.847510405575288,lf_thigh_link,0,0,1,1000,0.5,-0.6,1.5,,,,,,,,
rf_shoulder_link,-0.030841,0.010778,-0.045501,0,0,0,0.08,1.9552E-05,2.0806E-07,-3.2173E-07,1.9066E-05,9.7295E-07,2.1805E-05,0,0,0,0,0,0,package://PP/meshes/rf_shoulder_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://PP/meshes/rf_shoulder_link.STL,,RIGHT_SHOULDER_LINK-1,Origin_RF_ARMPIT,Axis_RF_ARMPIT,RF_ARMPIT,revolute,0.086926,-0.04808,0.020486,1.574,5.102E-05,-3.1416,base_link,1,5.102E-05,0,1000,0.5,-0.6,0.6,,,,,,,,
rf_thigh_link,0.059941,-0.034073,-0.032689,0,0,0,0.2,5.2643E-05,-6.8707E-06,-9.0904E-09,0.0002077,4.5082E-10,0.0001967,0,0,0,0,0,0,package://PP/meshes/rf_thigh_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://PP/meshes/rf_thigh_link.STL,,THIGH_LINK-2,Origin_RF_ELBOW,Axis_RF_ELBOW,RF_ELBOW,revolute,-0.0292763926136173,-0.0145596376099831,-0.0201913965766899,0,0,-0.396320647708051,rf_shoulder_link,0,0,1,1000,0.5,-1,1.2,,,,,,,,
rf_calf_link,-0.056274,-0.03107,-0.030468,0,0,0,0.12,2.7136E-05,6.5227E-06,-7.3333E-09,0.00025946,3.4574E-09,0.00024892,0,0,0,0,0,0,package://PP/meshes/rf_calf_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://PP/meshes/rf_calf_link.STL,,CALF_LINK-3,Origin_RF_KNEE,Axis_RF_KNEE,RF_KNEE,revolute,0.146923729810897,-0.0347427857925089,-0.00226016980146514,0,0,0.855957326465464,rf_thigh_link,0,0,1,1000,0.5,-0.6,1.5,,,,,,,,
lb_shoulder_link,0.026809,0.010781,0.045502,0,0,0,0.08,1.9553E-05,2.0828E-07,3.218E-07,1.9066E-05,-9.7277E-07,2.1805E-05,0,0,0,0,0,0,package://PP/meshes/lb_shoulder_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://PP/meshes/lb_shoulder_link.STL,,LEFT_SHOULDER_LINK-2,Origin_LB_ARMPIT,Axis_LB_ARMPIT,LB_ARMPIT,revolute,-0.090343,0.04808,0.020486,1.5771,5.1019E-05,-3.1416,base_link,1,5.1018E-05,0,1000,0.5,-0.6,0.6,,,,,,,,
lb_thigh_link,0.059941,-0.034073,0.033188,0,0,0,0.2,5.2643E-05,-6.8707E-06,-9.0664E-09,0.0002077,3.9696E-10,0.0001967,0,0,0,0,0,0,package://PP/meshes/lb_thigh_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://PP/meshes/lb_thigh_link.STL,,THIGH_LINK-4,Origin_LB_ELBOW,Axis_LB_ELBOW,LB_ELBOW,revolute,0.0282851953087068,-0.0145567008678925,0.0197727795166636,0,0,-0.403369036917515,lb_shoulder_link,0,0,1,1000,0.5,-1,1.2,,,,,,,,
lb_calf_link,-0.056276,-0.031071,0.030904,0,0,0,0.12,2.7136E-05,6.5208E-06,-9.4832E-09,0.00025948,3.3556E-09,0.00024894,0,0,0,0,0,0,package://PP/meshes/lb_calf_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://PP/meshes/lb_calf_link.STL,,CALF_LINK-2,Origin_LB_KNEE,Axis_LB_KNEE,LB_KNEE,revolute,0.146923729810866,-0.0347427857925263,0.0022460131535169,0,0,0.846105672174157,lb_thigh_link,0,0,1,1000,0.5,-0.6,1.5,,,,,,,,
