Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.098928,0.12224,0.21577,0,0,0,0.95228,0.00090835,-9.0768E-05,-2.3727E-07,0.0034187,-1.9167E-07,0.0028288,0,0,0,0,0,0,package://PinkPanther/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://PinkPanther/meshes/base_link.STL,,base_link-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
lf_shoulder_link,-0.03075,0.010763,0.045764,0,0,0,0.0824,1.9553E-05,2.0817E-07,3.2177E-07,1.9067E-05,-9.601E-07,2.1806E-05,0,0,0,0,0,0,package://PinkPanther/meshes/lf_shoulder_link.STL,0,0.81961,0.93333,1,0,0,0,0,0,0,package://PinkPanther/meshes/lf_shoulder_link.STL,,left_shoulder_link-1,Origin_lf_armpit_joint,Axis_lf_armpit_joint,lf_armpit_joint,revolute,0.18278,-0.16742,0.12906,1.5365,-5.099E-05,3.1416,base_link,1,-5.096E-05,0,0,0,0,0,,,,,,,,
lf_thigh_link,0.059996433244213,-0.0341838321471055,0.032302577867309,0,0,0,0.204667339600535,5.26346784128229E-05,-6.87731568122644E-06,-1.31969120930847E-08,0.000207681438340011,-1.98427830747812E-10,0.000196679917440952,0,0,0,0,0,0,package://PinkPanther/meshes/lf_thigh_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://PinkPanther/meshes/lf_thigh_link.STL,,thigh_link-2,Origin_lf_shoulder_joint,Axis_lf_shoulder_joint,lf_shoulder_joint,revolute,-0.029275,-0.014657,0.020776,0,0,-0.32094,lf_shoulder_link,0,0,1,0,0,0,0,,,,,,,,
lf_calf_link,-0.05631,-0.031205,0.030022,0,0,0,0.1242,2.7139E-05,6.4901E-06,2.949E-09,0.00025982,4.1E-09,0.00024927,0,0,0,0,0,0,package://PinkPanther/meshes/lf_calf_link.STL,0,0.81961,0.93333,1,0,0,0,0,0,0,package://PinkPanther/meshes/lf_calf_link.STL,,calf_link-1,Origin_lf_knee_joint,Axis_lf_knee_joint,lf_knee_joint,revolute,0.14707,-0.034829,0.002755,0,0,0.52769,lf_thigh_link,0,0,1,0,0,0,0,,,,,,,,
rf_shoulder_link,-0.030839,0.010759,-0.045563,0,0,0,0.082397,1.9553E-05,2.0806E-07,-3.2173E-07,1.9066E-05,9.7295E-07,2.1806E-05,0,0,0,0,0,0,package://PinkPanther/meshes/rf_shoulder_link.STL,0,0.81961,0.93333,1,0,0,0,0,0,0,package://PinkPanther/meshes/rf_shoulder_link.STL,,right_shoulder_link-1,Origin_rf_armpit_joint,Axis_rf_armpit_joint,rf_armpit_joint,revolute,0.18329,-0.26358,0.12906,1.6168,5.0966E-05,3.1416,base_link,1,5.0913E-05,0,0,0,0,0,,,,,,,,
rf_thigh_link,0.0599964943975807,-0.0341839918276807,-0.0377429634703778,0,0,0,0.204665001473154,5.26346968148551E-05,-6.87777138986594E-06,-1.27760415664048E-08,0.00020768066062949,-3.26645150604797E-10,0.000196679212150683,0,0,0,0,0,0,package://PinkPanther/meshes/rf_thigh_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://PinkPanther/meshes/rf_thigh_link.STL,,thigh_link-3,Origin_rf_shoulder_joint,Axis_rf_shoulder_joint,rf_shoulder_joint,revolute,-0.029276,-0.01466,-0.01472,0,0,-0.32044,rf_shoulder_link,0,0,1,0,0,0,0,,,,,,,,
rf_calf_link,-0.056309,-0.031205,-0.034472,0,0,0,0.1242,2.7139E-05,6.49E-06,-1.7487E-08,0.00025981,4.2534E-09,0.00024927,0,0,0,0,0,0,package://PinkPanther/meshes/rf_calf_link.STL,0,0.81961,0.93333,1,0,0,0,0,0,0,package://PinkPanther/meshes/rf_calf_link.STL,,calf_link-3,Origin_rf_knee_joint,Axis_rf_knee_joint,rf_knee_joint,revolute,0.14707,-0.034829,-0.0032987,0,0,0.5296,rf_thigh_link,0,0,1,0,0,0,0,,,,,,,,
lb_shoulder_link,0.020789,0.01076,0.045764,0,0,0,0.0824,1.9553E-05,2.0818E-07,3.2177E-07,1.9067E-05,-9.601E-07,2.1806E-05,0,0,0,0,0,0,package://PinkPanther/meshes/lb_shoulder_link.STL,0,0.81961,0.93333,1,0,0,0,0,0,0,package://PinkPanther/meshes/lb_shoulder_link.STL,,left_shoulder_link-2,Origin_lb_armpit_joint,Axis_lb_armpit_joint,lb_armpit_joint,revolute,0,-0.16742,0.12906,1.5595,-5.1017E-05,3.1416,base_link,1,-5.1014E-05,0,0,0,0,0,,,,,,,,
lb_thigh_link,0.0599960380679562,-0.0341837753554383,0.0323703475654103,0,0,0,0.204667119612238,5.26406019644593E-05,-6.87082961044597E-06,-9.72142532528298E-09,0.000207699321496533,6.56354451163751E-10,0.000196693726000022,0,0,0,0,0,0,package://PinkPanther/meshes/lb_thigh_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://PinkPanther/meshes/lb_thigh_link.STL,,thigh_link-1,Origin_lb_shoulder_joint,Axis_lb_shoulder_joint,lb_shoulder_joint,revolute,0.022265,-0.014659,0.021208,0,0,-0.53704,lb_shoulder_link,0,0,1,0,0,0,0,,,,,,,,
lb_calf_link,-0.056276,-0.031202,0.030083,0,0,0,0.12415,2.7135E-05,6.5225E-06,-5.1891E-09,0.00025947,4.206E-09,0.00024893,0,0,0,0,0,0,package://PinkPanther/meshes/lb_calf_link.STL,0,0.81961,0.93333,1,0,0,0,0,0,0,package://PinkPanther/meshes/lb_calf_link.STL,,calf_link-2,Origin_lb_knee_joint,Axis_lb_knee_joint,lb_knee_joint,revolute,0.14707,-0.034829,0.0027597,0,0,0.55421,lb_thigh_link,0,0,1,0,0,0,0,,,,,,,,
